brandName_0_lang,brandName_0_value,brandName_1_lang,brandName_1_value,brandName_2_lang,brandName_2_value,gpcCode,gtin,netContent_0_measurementUnitCode,netContent_0_quantity,netContent_1_measurementUnitCode,netContent_1_quantity,netContent_2_measurementUnitCode,netContent_2_quantity,netContent_3_measurementUnitCode,netContent_3_quantity,netContent_4_measurementUnitCode,netContent_4_quantity,status,targetMarketCountryCode_0,targetMarketCountryCode_1,targetMarketCountryCode_2,tradeItemDescription_0_lang,tradeItemDescription_0_value,tradeItemDescription_1_lang,tradeItemDescription_1_value,tradeItemDescription_2_lang,tradeItemDescription_2_value,tradeItemImageUrl_0_lang,tradeItemImageUrl_0_value,tradeItemImageUrl_1_lang,tradeItemImageUrl_1_value,tradeItemImageUrl_2_lang,tradeItemImageUrl_2_value
en-US,Pantene,,,,,10000346,00080878187072,OZA,1.5,MLT,45,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Intense Rescue Shots Hair Ampoules for Intensive Repair of Damaged Hair, 0.5 fl oz (Pack of 3)",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_83528831_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187096,OZA,1.7,MLT,50,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V One Step Nourishing Mask Hair Mask, 1.7 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80318917_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187515,OZA,38.2,MLT,1130,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Essential Botanicals Paraben Free & Dye Free Moisturizing Shampoo w/ Manuka Honey & Apricot for Dry, Damaged Hair, 38.2 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80319172_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187522,OZA,38.2,MLT,1130,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Essential Botanicals Paraben Free & Dye Free Moisturizing Conditioner w/ Manuka Honey & Apricot for Dry, Damaged Hair, 38.2 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80319183_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187577,OZA,7.6,MLT,225,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Soothing Recovery Hair Mask for Smoothing Unruly, Frizz Prone Hair, 7.6 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80319538_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187782,OZA,3.4,MLT,100,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Lightweight Nourishing Hair Oil Treatment Serum for Split End Repair, 3.4 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80320624_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187829,OZA,25,MLT,740,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Curl Perfection Shampoo, 25 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321244_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187836,OZA,23.7,MLT,700,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Curl Perfection Conditioner, 23.7 fl oz ",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321246_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187867,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Classic Clean Shampoo, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321931_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187874,OZA,11,MLT,326,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Classic Clean 2In1 Shampoo & Conditioner, 11 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80321936_master_preview,,,,
